
	
	
	
	Rate Performance
	
	
	
	
	 
	 
	
	
	
	
	Rate Performance
	
	
Gross Interest Rates For 2000/2001
	
	
	
	
	Effective Dates 
	29/01/01 
	28/03/01 
	27/04/01 
	27/06/01 
	29/08/01 
	29/10/01 
	26/11/01 
	19/12/01 
	
	
	Rainbow 60 
	
	
	Paid Annually 
	Gross/AER 
	Gross/AER 
	Gross/AER 
	Gross/AER 
	Gross/AER 
	Gross/AER 
	Gross/AER 
	Gross/AER 
	Net 
	
	
	£100,000 
	5.75 
	5.75 
	5.45 
	5.45 
	5.20 
	5.20 
	5.00 
	5.00 
	4.75 
	4.75 
	4.50 
	4.50 
	4.25 
	4.25 
	4.00 
	4.00 
	3.20 
	
	
	£50,000 
	5.30 
	5.30 
	5.00 
	5.00 
	4.75 
	4.75 
	4.50 
	4.50 
	4.25 
	4.25 
	4.00 
	4.00 
	3.75 
	3.75 
	3.50 
	3.50 
	2.80 
	
	
	£25,000 
	5.05 
	5.05 
	4.75 
	4.75 
	4.50 
	4.50 
	4.25 
	4.25 
	4.00 
	4.00 
	3.75 
	3.75 
	3.50 
	3.50 
	3.25 
	3.25 
	2.60 
	
	
	£10,000 
	4.55 
	4.55 
	4.25 
	4.25 
	4.00 
	4.00 
	3.75 
	3.75 
	3.50 
	3.50 
	3.25 
	3.25 
	3.00 
	3.00 
	2.75 
	2.75 
	2.20 
	
	
	£5,000 
	4.25 
	4.25 
	3.95 
	3.95 
	3.70 
	3.70 
	3.50 
	3.50 
	3.25 
	3.25 
	3.00 
	3.00 
	2.75 
	2.75 
	2.50 
	2.50 
	2.00 
	
	
	£1000 
	4.00 
	4.00 
	3.70 
	3.70 
	3.45 
	3.45 
	3.25 
	3.25 
	3.00 
	3.00 
	2.75 
	2.75 
	2.50 
	2.50 
	2.25 
	2.25 
	1.80 
	
	
	Paid Monthly 
	Gross/AER 
	Gross/AER 
	Gross/AER 
	Gross/AER 
	Gross/AER 
	Gross/AER 
	Gross/AER 
	Gross/AER 
	Net 
	
	
	£100,000 
	5.25 
	5.38 
	4.95 
	5.06 
	4.70 
	4.80 
	4.50 
	4.59 
	4.25 
	4.33 
	4.00 
	4.07 
	3.75 
	3.82 
	3.75 
	3.82 
	3.00 
	
	
	£50,000 
	4.80 
	4.91 
	4.50 
	4.59 
	4.25 
	4.33 
	4.00 
	4.07 
	3.75 
	3.82 
	3.50 
	3.56 
	3.25 
	3.30 
	3.25 
	3.30 
	2.60 
	
	
	£25,000 
	4.55 
	4.65 
	4.25 
	4.33 
	4.00 
	4.07 
	3.75 
	3.82 
	3.50 
	3.56 
	3.25 
	3.30 
	3.00 
	3.04 
	3.00 
	3.04 
	2.40 
	
	
	£10,000 
	4.05 
	4.13 
	3.75 
	3.82 
	3.50 
	3.56 
	3.25 
	3.30 
	3.00 
	3.04 
	2.75 
	2.78 
	2.50 
	2.53 
	2.50 
	2.53 
	2.00 
	
	
	£5,000 
	3.75 
	3.82 
	3.45 
	3.51 
	3.20 
	3.25 
	3.00 
	3.04 
	2.75 
	2.78 
	2.50 
	2.53 
	2.25 
	2.27 
	2.25 
	2.27 
	1.80 
	
	
	£1000 
	3.50 
	3.56 
